"Unique_CommentID","newsgroup","newsgroup_ID","Thread.ID","NG_Relative_CommentID","NG_Relative_ThreadID","Comment.ID","Unique.Comment.ID","Author","Date.and.Time","Full.Text","URL.String","Hour","Date","SentimentScore","Relevancy"
"NG01_TH01223_CM00001","netmed","NG01","NG01_TH01223","TH01223_CM00001","TH01223","CM00001","TH01223_CM00001","Craig Werner",1986-01-18 01:35:48,"[If I included the whole history, it would make this too easy, so I'm leaving
out several details, that, while not essential, are highly suggestive.]
	A 27-old Hispanic female from the South Bronx is referred to clinic
with a 2-week history of dry cough, fever, shortness of breath, and weight
loss. On physical exam, she has a temperature of 102. An examination of her
head reveals oral thrush (an infection of the mouth by the yeast Candida).
	Because of her extreme difficulty breathing, she is admitted to the
hospital. An admission chest X-ray reveals is diffusely cloudy on both sides,
suggesting interstitial pneumonia. A sputum examination reveals nothing, but
shows squamous cells (suggestive that it wasn't done as well as could be
expected.) Routine blood test shows mild anemia (low hematocrit) and a 
White Blood Cell count in the normal range.
	What is the suspect diagnosis (generally or specifically)?
-- 
				Craig Werner
				!philabs!aecom!werner
          ""It's hard to argue with someone who knows what he's talking about.""","OOlqZMAW0NkJ",1,1986-01-18,-9,0
"NG01_TH01164_CM00001","netmed","NG01","NG01_TH01164","TH01164_CM00001","TH01164","CM00001","TH01164_CM00001","Steve Dyer",1986-01-03 15:54:26,"I had a really out-of-the-ordinary experience this past New Year's Eve
that shook me out my everyday torpor and placidity.  I was completely
surpised by my reactions, and I thought I'd share it with other readers.
A few weeks ago, a close friend called to invite my lover and I to a dinner
party on New Year's Eve being given by a couple who were friends of his.
We had met one of them once before at a party a few years ago, and he asked
our friend to call us and invite us for their New Year celebration.  The
night before the dinner, we called our friend to get directions and
details, and before hanging up, he said non-chalantly that they also have a
third person living with them who has AIDS.  We finished getting the
particulars and hung up, not missing a beat.  What was most remarkable
was my reaction (which also turned out to be my lover's reaction, although
we didn't talk about it until after the dinner.)  First, though it may
surprise some of you, not every gay person has AIDS or knows someone with
it or knew someone who died of it.  I think that for the great majority of
gay men, and that included myself, AIDS is an enormous abstraction, always
on the verge of becoming a physical threat, but mostly elusive and immaterial,
like an enemy whom you haven't seen and who hasn't yet attacked.  I had
never met anyone I knew to have AIDS, though friends had.
Nevertheless, most of us are schooled in the ""proper"" reactions to have,
and it's rather frightening when our experience doesn't bear them out.  I
was appalled at myself. I had three reactions.  First, anger and
disappointment at having to spend a supposedly festive holiday with someone
whose condition was anything but, and not knowing how to share social
smalltalk with eventual death looking you in the face, and second, REAL
anger at my friend who waited to tell us about this third person's
condition the night before dinner, making impossible any superficially
honorable excuse from the obligation.  Finally, and just as surprising, a
real irrational aversion to being in the company of someone with the
disease, knowing intellectually that it can't be caught by sitting across
the dinner table, but even that offering little solace.  Luckily, I could
see how bankrupt all these were, and we went ahead, just a little fearful
of how the evening would turn out.
As expected, confronting these fears makes them disappear, for we had a
enjoyable time, but rather sad and poignant too, for the person with AIDS
was obviously tired and weak, and seemed almost to shrink away in the face
of social company and chitchat.  Life looks almost normal until you see the
oxygen tank in the john, and he was cold all the time, wearing a down vest
indoors and a quilt on his legs.  But he kept up his own before and during
dinner, too, before he excused himself to go to bed before the new year
came in.  And you begin to see that, for any people with terminal
debilitating diseases, life consists of trying to keep as much of the
daily routine as one can accomodate.  But, I think we made three new friends
that night, and that we'll see them again pretty soon.
-- 
/Steve Dyer
dy...@harvard.harvard.edu
harvard!dyer","K9pTTRC3_BsJ",15,1986-01-03,-15,16
"NG01_TH01157_CM00002","netmed","NG01","NG01_TH01157","TH01157_CM00002","TH01157","CM00002","TH01157_CM00002","Steve Dyer",1985-12-13 19:31:02,"This was asked a few months ago on net.bio.  There are a few reverse
transcriptase inhibitors being tested: one of them, suramin, is an old drug
used for trypanosomiasis.  Many of them (including suramin) have rather
toxic side-effects, probably because their ability to inhibit enzymes isn't
limited to viral reverse transcriptase.  Also, most people with AIDS are
already suffering the effects of successful viral attack; I guess you'd
really like to treat with such drugs during the initial infection, which so
far seems asymptomatic.  
-- 
/Steve Dyer
{harvard,seismo}!bbnccv!bbncc5!sdyer
sd...@bbncc5.ARPA","LcMwkBvwqPcJ",19,1985-12-14,-3,10
"NG01_TH01157_CM00003","netmed","NG01","NG01_TH01157","TH01157_CM00003","TH01157","CM00003","TH01157_CM00003","pam pincha",1985-12-17 12:56:47,"In article <8...@h-sc1.UUCP> sh...@h-sc1.UUCP (steve shiue) writes:
>
>	In addition, my roommate mentioned that mosquitoes might possibly
>provide suitable vectors for the spread of the disease - I've heard that this
>has been looked into in some towns in Florida with AIDS victims not in the
>""high risk"" groups.  Does anyone know anything about this?
	Quote from Laurence,Jeffrey, 1985, The Immune system in AIDS,
		Scientific American,Dec.,vol.253,no.6,p.84-93.
	""The groups at highest risk for infection have become 
	increasingly well defined; they include homosexual and
	bisexual men, abusers of injected drugs, the sexual
	partners of people in AIDS risk groups, and children born
	of mothers at risk. Recipients of blood transfusions and blood
	products have also contracted AIDS, but screening of
	donated blood for evidence of infection has drastically
	reduced their risk. The fact that the disease shows
	*NO SIGN* of spreading beyond those groups, except to
	predictable targets such as women who are artificially
	inseminated from infected donors, indicates that the
	virus is ONLY transmitted through the blood or through
	sexual intercourse. *ALL EPIDEMIOLOGIC EVIDENCE INDICATES
	THAT FOOD, WATER, INSECTS AND CASUAL CONTACT DO NO SPREAD
	AIDS.""
	This is a good article on how this virus affects the immune
	system in great detail. The one thing of note that has
	come out of the studies is that it ""appears that the total
	collapse of the immune defenses in AIDS victims stems
	largely from a single defect : a reduction in the number
	and a change in the function of the T4 lymphocytes, one
	of the many distinct kinds of cells that make upthe immune
	system."" Some how it seem incrediable how the bodies defenses
	can collapse from the failure of just one element.
	P.M.Pincha-Wagener
 
s","WhLLzczgfq4J",12,1985-12-17,-7,22
"NG01_TH01157_CM00004","netmed","NG01","NG01_TH01157","TH01157_CM00004","TH01157","CM00004","TH01157_CM00004","wer...@aecom.uucp",1985-12-18 12:50:59,"> 
> 	In a discussion with my roommate last spring, it occurred to me that
> one useful line of therapy against AIDS and other retroviruses would be to
> develop drugs that SELECTIVELY inhibit reverse trascriptase, the enzyme that
	5 out of the 6 drugs approved for clinical trials are as you describe.
An old posting of mine listed them and their stages of trial.
	There are a few problems:
	1. Selectivity is a relative term -- these drugs are incredibly 
toxic.
	2. Once the virus has become resident in the cells of the immune
system, ReverseT becomes dispensable.
	3. There is so far little demonstration that stopping the spread of
the virus actually improves the clinical disease.  Consider the trial in
France with Cyclosporin -- the virus disappeared in the two weeks prior to
the Press conference AND all three patients died in the week following.
-- 
				Craig Werner
				!philabs!aecom!werner
                 ""Never go to a doctor whose office plants have died.""","DRLby8Do0X8J",12,1985-12-18,-6,22
"NG01_TH01157_CM00005","netmed","NG01","NG01_TH01157","TH01157_CM00005","TH01157","CM00005","TH01157_CM00005","James R. Carbin",1985-12-20 21:06:19,"
While this reply posting is quite informative, part of what is stated
can either be disputed or criticized as misleading.
From the document, ""Acquired Immune Deficiency Syndrome, 100 Questions
and Answers,""  published by the Department of Health, New York State,
Dr. David Axelrod, M.D. Commissioner, dated October 24,1985, the following
excerpts are extracted without permission.
""Who is at risk for AIDS?
During the five years in which AIDS has been recognized and studied,
approximately 95 percent of AIDS cases nationally have occurred among the
following groups of people:
73% - sexually active homosexuals and bisexual men *WITH MULTIPLE PARTNERS*
      (emphasis are mine - A nurse with the State Department of Health involved
       in the testing for the HTLV-III virus anti-bodies stated, 'We now feel
       that we have done a disservice to many homosexuals by automatically
       placing them in the high-risk category.  The high-risk category should
       have included some consideration of the sexual practices of the
       individual not just the fact that they are homosexual.')
From a separate document included with the first named publication,
(and again reproduced without permission),
                   GUIDELINES FOR PREVENTION OF HTLV-III
                            TRANSMISSION/TRANSFER
Reducing risk of transmission through altering certain sex practices.....
UNSAFE
     These activities involve tissue trauma and/or exchange of body fluids
which may transfer the HTLV-III virus or other microbes.  These practices
carry high risk:
     - Fellatio
          The swallowing of semen, which can contain the HTLV-III virus,
       is considered a high risk.
     - Vaginal intercourse  (as stated in the original posting)
     - Analingus (Oral contact with the rectum)
     - ""Fisting""
     - Anal Intercourse (whether homosexual or heterosexual)
       (Included in the ""100 Questions and Answers,"" 'Some cases of AIDS
       have been transmitted from an infected male to a female, and it is
       not known to what extent anal intercourse was involved.')
I would like to add that the State of New York has a multi-faceted program to
not only identify individuals who have been exposed to the virus (with
total and complete anonymity assured), but to reduce the incidence and
spread of the disease.  There is a State Health Department Hotline
(1-800-462-1884
), which provides up-to-date information about AIDS.
Eight regional HTLV-III antibody test sites have been established by the
N.Y.S. Health Department to provide testing and counseling for persons
who wish to know if they have been exposed to the virus.  Testing is free
of charge at these sites, and strict confidentiality is maintained through
the use of a code system.  Persons seeking the the HTLV-III antibody test
need not give a name, address, or any other potentially identifying information.
N.Y.S. is spending $1.6 million annually to fund regional task forces and other
community service organizations that provide educational and outreach services
associated with AIDS.  In addition, N.Y.S. presently allocates annually more 
funding for AIDS research than for any other specific disease except cancer.
jr        {allegra,seismo}!rochester!ritcv!jrc","9e9ZcPNxZX4J",21,1985-12-21,-13,46
"NG01_TH01115_CM00002","netmed","NG01","NG01_TH01115","TH01115_CM00002","TH01115","CM00002","TH01115_CM00002","Steve Dyer",1985-11-22 01:42:07,"I think the advise to rely on agents containing nonoxynol-9 or, of all
things, peroxide, is simply illadvised, bad folk-medicine, something we
certainly don't need right now when it comes to AIDS.  There are lots of
agents which inactivate viruses in vitro, but which turn out to be ineffective
or deleterious when used in vivo.  I am repeating myself here (I addressed this
several months ago) but Will's recommendations require this:
There is no evidence that nonoxynol-9 spermicides or lubricants have any
effect on the spread of HTLV-3 infection.  Ditto for peroxide.  Nonoxynol-9
is a detergent, and for all we know, it might facilitate its spread through
some strange surface-active effect on mucous membranes.  Peroxide is
immediately broken down by catalase, ubiquitous in the body, and it's a
weak antiseptic agent by any standards.  The point is, we just don't know
the effects of these (or any other) agents as prophylactic measures against
infection, and it is downright irresponsible to give the impression that
there is anything but uneducated guessing behind it.  Better to not be
exposed at all, by the use of condoms, TRUE safe-sex practices where there
is no chance of exchanging fluids, or abstinence.
-- 
/Steve Dyer
{harvard,seismo}!bbnccv!bbncc5!sdyer
sd...@bbncc5.ARPA","wyY9gjPoleUJ",1,1985-11-22,-5,22
"NG01_TH01089_CM00001","netmed","NG01","NG01_TH01089","TH01089_CM00001","TH01089","CM00001","TH01089_CM00001","Craig Werner",1985-10-30 23:49:44,"I'd like to talk about two diseases.  Both are responsible for a lot
of deaths.  Neither one causes death directly, but rather they both leave you
open to die from a cause you might not otherwise have died from.
	One is AIDS
	The other is smoking.
Last year, smoking killed 100 times as many people as AIDS.
	Smoking, however, can be treated and cured. If you smoke, quit.
				Craig Werner
				!philabs!aecom!werner
      ""... Has Determined That Cigarette Smoking Is Dangerous To Your Health""
-- 
				Craig Werner
				!philabs!aecom!werner
     ""The proper delivery of medical care is to do as much Nothing as possible""","zctiL0KxuxcJ",23,1985-10-31,-9,13
"NG01_TH01079_CM00001","netmed","NG01","NG01_TH01079","TH01079_CM00001","TH01079","CM00001","TH01079_CM00001","Ron Rizzo",1985-11-14 12:56:49,"Subject: AIDS in Africa: some info from an editorial
Newsgroups: net.motss,net.med
Well, here's a hastily reproduced editorial that appeared in this
morning's Boston Globe (11/14/85); I don't know how accurate it is.
Sexual transmission of AIDS in Africa is virtually entirely hetero-
sexual, a point the editorial fails to make.
Here's the full text of the editorial (from page 22):
""The worst news is yet to come about AIDS.  Even as the American public
takes some reassurance from the limited transmission of the diease here,
reports emerging from some African countries are ominous.""
""Coupled with a newer understanding of the AIDS virus as an insidious
infection of the brain as well as the body [varying degrees of dementia,
resulting from brain damage, have been found among up to 1/3 of US AIDS 
victims, especially during the disease's final stages], the reports make
the disease even more calamitous."" [This is an exaggeration: the AIDS
virus' affinity for nerve cells has been suspected or known for at least
a couple of years, and the findings on dementia have been out for half a
year or more; this isn't new information].
""What had been suspected in central and east Africa now is confirmed:
AIDS is rampant.  One-tenth of the residents are infected by the virus;
at least half will become sick.""  [Whether ""sick"" means ARC only or full-
blown AIDS, it didn't say.  At most 10% (at least, a fraction of a %)) 
of Americans carrying HTLV-III are expected to eventually contract full-
blown AIDS; the much higher ratio projected for Africa is attributed to 
poor health and sanitary conditions, certain folk practices involving
blood, etc.]  
""They number more than 10 million people, five times as many in the
far more populous United States.  There is less reason to think the
spread of AIDS can be slowed in Africa, although it may be in the
United States.""
""Last summer, two American medical scientists Drs. Bruce Johnson and
Charles Oster of the Kenya National Research Institute, expressed
anxiety over the heavy seeding-in of the AIDS virus.""
""Blood donations indicated that a 10-15 percent of Kenya's population
carried the virus.  A blood screening of 90 Nairobi prostitutes showed 
that half were infected and that 3 out of 4 [of those infected] had
symptoms.  A sampling of the 250,000-member Turkana tribe showed that
two out of three were AIDS-positive."" [Ie, had positive responses to
bloodtests for the suspected AIDS virus.]
""Although Kenya lists only 3 official cases of AIDS, the doctors
had heard through colleagues that a lethal new sickness was wide-
spread in neighboring Rwanda and Uganda.  They fear that it is only
a matter of time until it moves into Kenya and other countries.  It
is known as the `slim disease' because its victims waste away and
die.  The doctors suspected it was a new form of AIDS.""
""They were right.""
""Now reports in the British medical journal The Lancet show that slim
diease is an African version of AIDS.  Its spread into Uganda--both
to rural villages and the capital, Kampala--is linked to traveling
traders and troops from Tanzania, which borders on the south.  The
prostitutes tested in Nairobi were migrants from Tanzania, where
nothing is known about the status of AIDS.""
""The AIDS outbreak is no less dismal in Rwanda and Zaire.  As early
as 1983, a higher rate of acute AIDS cases was detected in Zaire's
capital city, Kinshasa, than in New York or San Francisco.  In
Rwanda AIDS cases in children are 15 times higher than in the 
United States.""
""Up to half the hospital beds in Kinshasa are reported to be occupied
by AIDS-infected patients.  Twenty percent of the pediatric beds in
Kigali hold children with slim disease.  Since the AIDS virus can be
passed from mother to child during pregnancy and breast-feeding, the
high birthrate in Africa compounds the AIDS problem.""
""In Africa, as in Haiti, AIDS occurs almost equally in men and women.
The disease seems to be spread in the same ways that it is in the US
-- sexually and through contaminated blood.""
""Opportunities for transmitting the AIDS virus in Africa are believed
to be enhanced, however, by certain practices.  Injections are commonly
given by folk-medicine practitioners who reuse unsterile needles.
Cutting the skin is another folk-medicine practice, and the blade is
reused.  Tribal circumcision rites, piercing of the ear, nose and lip,
and ritual scarring are often performed under unsanitary conditions.""
""Beyond that, the miserable overcrowdedness `in which the bulk of the
people live, combined with a high frequency of infections, injuries
and sores which break the skin, make blood contact among family members
practically inevitable, with the transmission of the virus likely,'
says Dr. John Seale, an AIDS specialist and researcher in London.""
""In an editorial in the Journal of the Royal Society of Medicine, Seale
emphasizes the singularly dangerous threat posed by the AIDS virus over
the next decade, as a `slow, irreversible and cumulative' brain infec-
tion.  Bescause the virus persists for life, `it would produce a self-
sustaining epidemic.'""
""`Indeed,' wrote Seale, `it would produce a lethal pandemic throughout
the crowded cities and villages of the Third World of a magnitude un-
paralleled in human history.  That is what the AIDS virus is now doing.'""
[According to Dr. Seale, that is.  The neurological effect of AIDS is
not new information; I haven't heard such apocalyptic predictions from
other AIDS researchers.]
""The specter of an AIDS catastrophe looms over Africa, driving home
the desperate need to find an effective treatment and making urgent
the call for a US research effort on the scale of the Manhattan
Project.  Not a moment can be lost.""  [Lots of luck communicating
this sense of urgency to Reagan and Reaganoids!]
			   Now, don't get hysterical: it solves
			   nothing, and besides, it's bad form,
			   Cheers,
			   Ron Rizzo","8iShggLg43wJ",12,1985-11-14,-57,29
"NG01_TH01074_CM00001","netmed","NG01","NG01_TH01074","TH01074_CM00001","TH01074","CM00001","TH01074_CM00001","Ron Rizzo",1985-11-14 13:05:13,"BTW, here's something a friend in New York recently told me: among
NEW CASES of AIDS in NYC, gay and bisexual cases account for just
over 50%, while the rest are heterosexual (mainly intravenous drug
users and their spouses/lovers/offspring).  If true (& my friend's
well-informed), this would represent a nearly 20% drop in gay and
bisexual cases, among NEW case, that is.  For years the proportion
of gay/bisexual cases has maintained a steady 70-71%.
						Ron Rizzo","5cq4oCuqUGgJ",13,1985-11-14,2,20
"NG01_TH01071_CM00002","netmed","NG01","NG01_TH01071","TH01071_CM00002","TH01071","CM00002","TH01071_CM00002","Craig Werner",1985-10-22 14:49:35,"> What if AIDS had been spreadable by mosquitos?  
> 
> Alan ""hope not"" Silverstein
	This topic has already been covered on the net, but to rehash.
In Africa, AIDS is almost unknown between the ages of 2 and puberty.  If it
were spread by mosquitoes, it would be much more prevalent among children and
adolescents.  After all, malaria is.  This argues against mosquito spread.
	Two: of the 500+ uncomplicated needle sticks on record at the CDC done
while blood has been taken from AIDS patients, none has progressed to AIDS or
even (when tested) Antibody posivity.  There are several cases complicated by
other factors, but these are not analogous to Mosquito bites.
The real AIDS epidemic now is
	Acquired INFORMATION deficiency syndrome.
				Craig Werner
				!philabs!aecom!werner
                     ""The end. 94. 95. The very, very, very end.""
-- 
				Craig Werner
				!philabs!aecom!werner
                     ""The end. 94. 95. The very, very, very end.""","gSXkPeSuN_UJ",14,1985-10-22,0,20
"NG01_TH01029_CM00002","netmed","NG01","NG01_TH01029","TH01029_CM00002","TH01029","CM00002","TH01029_CM00002","Will Martin",1985-10-21 17:32:44,"Heard on Radio Moscow World Service shortwave this weekend:
the Soviets have a new computer-controlled cutting device they use for
RK surgery, which makes the cuts much more precisely and uniformly.
(Don't know if such devices are in use here or not, so this may be
an advance over Western techniques or maybe not... The Soviets did
originate RK surgery, right?)","FINdhYNiEQMJ",17,1985-10-22,-2,0
"NG01_TH01028_CM00001","netmed","NG01","NG01_TH01028","TH01028_CM00001","TH01028","CM00001","TH01028_CM00001","Ron Rizzo",1985-09-13 11:36:48,"NPR's ""All Things Considered"" yesterday described a report from the AMA
(American Medical Association) which claimed there were 1 1/2 million
Americans NOT IN ANY HIGH RISK GROUPS (which are gay men, intravenous
drug users, & hemophiliacs) either infected with HTLV-III virus or
testing positive on the bloodtest for it.
The report urged those testing positive to have a second bloodtest,
because of the high number of false positives, and even a third test 
of another kind, before drawing any conclusions about themselves.
There were a lot of other interesting recommendations in the report
and in reaction to it.  Does anyone have a copy of it or the reaction?
If so, how about posting a summary to the net?
					Regards,
					Ron Rizzo","MOEOxFZsPscJ",11,1985-09-13,1,14
"NG01_TH01028_CM00002","netmed","NG01","NG01_TH01028","TH01028_CM00002","TH01028","CM00002","TH01028_CM00002","Bill Stoll",1985-09-15 15:41:31,"The revelation that >9,500,000 Americans, who are not on the origional
list of the only kind of people who can get AIDS, is a giant step
toward the truth.  You can't get AIDS unless your immune system is
near collapse.  These people were exposed to the virus and their
resistance was sufficient to either kill off the virus or create the
carrier state.  PRECISELY AS THE AMERICAN HOLISTIC MEDICAL ASSOCIATION
HAS BEEN SAYING ALL ALONG!  The ""incubation period"" is just the
carrier state intil the individual's reserves finally got low enough
for him or her to finally yield to the virus--it has nothing to do
with an incubation period in the usual sense of the word.  In this
sense it is like Herpes [which also, by the way, doesn't attack people
with an unburdened immune system]--it stays in the system until
something lowers the immunity enough for it to break out again.  If
the Herpes virus attacked the immune system (like the AIDS virus does)
instead of the skin, it would be just as bad as AIDS.
 
Unfortunately, many more people will have to get the disease; lots
more hysterical things will have to occur; before people have suffered
enough to be willing to look at the situation in a very different way.
It has always amazed me how painful thinking seems to be for the human
animal:  it will do almost anything, suffer almost any agony or
disaster before, finally (as a last resort) thoughtful shift in
perception is tried.
There are more ways , to improve the immune system, being learned
every week.  The thinking human is NOT helpless before AIDS.  As I 
stated a few weeks ago (the position for which I was blasted from all
sides):  Anyone who does aerobic exercise 20 minutes 3 times/week,
practices a whole food diet & switches their hypothalamus to 8-10cps
20 minutes twice daily, has nothing to fear from AIDS, Toxic Shock,
Legioniare's Disease (did you know one couldn't get Legionaire's
Disease unless they were, or had been, a smoker?)[another example of
specific stresses exceeding reserves within the individual], Chronic
Systemic Candidiasis, etc.
There have been several recorded cases of AIDS already that have gone
into remission (possibly to cure--too soon to know yet) simply by
following what I have reported to you above.  There is still no
conventional treatment that has any significant positive results.
What harm is there to try?  There can not possibly be any harm &, even
common sense says it should help.  Why so much resistance?  Any one
who has done their homework knows about the laboratory findings in
this area.  I believe it is hard because no one really wants to change
their lifestyle.  Besides, if you have AIDS, changing would be an
admission that something that you did, in your lifestyle before you
got it, helped you get it.  That is a pretty heavy burden for anyone
to swallow, especially if one is already pretty sick.
The truth will eventually out, regardless what we would LIKE it to be.
There may be some fine detail things to learn about what the Holistic
understanding has been for some time---but it will follow exactly the
present outline I've been sharing with you.
My thanks to Ron Ringo for placing the information on the net.  Also
to Sue Brezden for her contribution.
cbosgd!ukma!wws(Walt Stoll)                           YOU
Walt Stoll, MD, ABFP                               ARE   MORE
Founder & Medical Director
Holistic Medical Centre                         THAN  YOU  THINK
1412 North Broadway
Lexington, Kentucky  40505    
-- 
cbosgd!ukma!wws(Walt Stoll)                       YOU
Walt Stoll, MD, ABFP
Founder & Medical Director                     ARE   MORE
Holistic Medical Centre 
1412 North Broadway
Lexington, Kentucky  40505                  THAN  YOU  THINK
(606) 233-4273","Iwakx4otBSkJ",15,1985-09-15,-21,18
